title,budget,popularity,release_date,revenue,release_year,budget_milhoes,revenue_milhoes
Toy Story,30000000,21.946943,1995-10-30,373554033.0,1995,30.0,373.55
Jumanji,65000000,17.015539,1995-12-15,262797249.0,1995,65.0,262.8
Grumpier Old Men,0,11.7129,1995-12-22,0.0,1995,0.0,0.0
Waiting to Exhale,16000000,3.859495,1995-12-22,81452156.0,1995,16.0,81.45
Father of the Bride Part II,0,8.387519,1995-02-10,76578911.0,1995,0.0,76.58
Heat,60000000,17.924927,1995-12-15,187436818.0,1995,60.0,187.44
Sabrina,58000000,6.677277,1995-12-15,0.0,1995,58.0,0.0
Tom and Huck,0,2.561161,1995-12-22,0.0,1995,0.0,0.0
Sudden Death,35000000,5.23158,1995-12-22,64350171.0,1995,35.0,64.35
GoldenEye,58000000,14.686036,1995-11-16,352194034.0,1995,58.0,352.19
The American President,62000000,6.318445,1995-11-17,107879496.0,1995,62.0,107.88
Dracula: Dead and Loving It,0,5.430331,1995-12-22,0.0,1995,0.0,0.0
Balto,0,12.140733,1995-12-22,11348324.0,1995,0.0,11.35
Nixon,44000000,5.092,1995-12-22,13681765.0,1995,44.0,13.68
Cutthroat Island,98000000,7.284477,1995-12-22,10017322.0,1995,98.0,10.02
Casino,52000000,10.137389,1995-11-22,116112375.0,1995,52.0,116.11
Sense and Sensibility,16500000,10.673167,1995-12-13,135000000.0,1995,16.5,135.0
Four Rooms,4000000,9.026586,1995-12-09,4300000.0,1995,4.0,4.3
Ace Ventura: When Nature Calls,30000000,8.205448,1995-11-10,212385533.0,1995,30.0,212.39
Money Train,60000000,7.337906,1995-11-21,35431113.0,1995,60.0,35.43
Get Shorty,30250000,12.669608,1995-10-20,115101622.0,1995,30.25,115.1
Copycat,0,10.701801,1995-10-27,0.0,1995,0.0,0.0
Assassins,50000000,11.065939,1995-10-06,30303072.0,1995,50.0,30.3
Powder,0,12.133094,1995-10-27,0.0,1995,0.0,0.0
Leaving Las Vegas,3600000,10.332025,1995-10-27,49800000.0,1995,3.6,49.8
Othello,0,1.845899,1995-12-15,0.0,1995,0.0,0.0
Now and Then,12000000,8.681325,1995-10-20,27400000.0,1995,12.0,27.4
Persuasion,0,2.228434,1995-09-27,0.0,1995,0.0,0.0
The City of Lost Children,18000000,9.822423,1995-05-16,1738611.0,1995,18.0,1.74
