Nome;Gênero;Cor_dos_olhos;Raça;Cor_do_cabelo;Altura_cm;Editora;Cor_da_pele;Alinhamento;Peso_kg;Altura_m;IMC
Alien;Masculino;unknown;Xenomorph XX121;No Hair;244.0;Dark Horse Comics;black;mau;169.0;2.44;28.386186509002957
Killer Frost;Feminino;blue;Human;Blond;186.72630560928434;DC Comics;blue;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Mystique;Feminino;yellow (without irises);Mutant;Red / Orange;178.0;Marvel Comics;blue;mau;54.0;1.78;17.043302613306402
Nebula;Feminino;blue;Luphomoid;No Hair;185.0;Marvel Comics;blue;mau;83.0;1.85;24.251278305332356
Abe Sapien;Masculino;blue;Icthyo Sapien;No Hair;191.0;Dark Horse Comics;blue;bom;65.0;1.91;17.81749403799238
Dr Manhattan;Masculino;white;Human / Cosmic;No Hair;186.72630560928434;DC Comics;blue;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Shadow Lass;Feminino;black;Talokite;Black;173.0;DC Comics;blue;bom;54.0;1.73;18.042701059173375
Beast;Masculino;blue;Mutant;Blue;180.0;Marvel Comics;blue;bom;181.0;1.8;55.864197530864196
Archangel;Masculino;blue;Mutant;Blond;183.0;Marvel Comics;blue;bom;68.0;1.83;20.305174833527424
Copycat;Feminino;red;Mutant;White;183.0;Marvel Comics;blue;neutro;67.0;1.83;20.00656932126967
Lobo;Masculino;red;Czarnian;Black;229.0;DC Comics;bluewhite;neutro;288.0;2.29;54.91886119639213
Nova;Feminino;white;Human / Cosmic;Red;163.0;Marvel Comics;gold;bom;59.0;1.63;22.20633068613798
Ardina;Feminino;white;Alien;Orange;193.0;Marvel Comics;gold;bom;98.0;1.93;26.309431125667803
Living Tribunal;Desconhecido;blue;Cosmic Entity;No Hair;186.72630560928434;Marvel Comics;gold;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
K-2SO;Masculino;white;Android;No Hair;213.0;George Lucas;gray;bom;112.25252525252525;2.13;24.742120225820553
Poison Ivy;Feminino;green;Human;Red;168.0;DC Comics;green;mau;50.0;1.68;17.71541950113379
Brainiac;Masculino;green;Android;No Hair;198.0;DC Comics;green;mau;135.0;1.98;34.43526170798898
Swamp Thing;Masculino;red;God / Eternal;No Hair;186.72630560928434;DC Comics;green;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Killer Croc;Masculino;red;Metahuman;No Hair;244.0;DC Comics;green;mau;356.0;2.44;59.7957538296157
Greedo;Masculino;purple;Rodian;unknown;170.0;George Lucas;green;mau;112.25252525252525;1.7;38.841704239628115
Evilhawk;Masculino;red;Alien;Black;191.0;Marvel Comics;green;mau;106.0;1.91;29.05622104657219
Martian Manhunter;Masculino;red;Martian;No Hair;201.0;DC Comics;green;bom;135.0;2.01;33.41501447983962
Beast Boy;Masculino;green;Human;Green;173.0;DC Comics;green;bom;68.0;1.73;22.720438370810918
Yoda;Masculino;brown;Yoda's species;White;66.0;George Lucas;green;bom;17.0;0.66;39.02662993572084
Donatello;Masculino;green;Mutant;No Hair;186.72630560928434;IDW Publishing;green;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Leonardo;Masculino;blue;Mutant;No Hair;186.72630560928434;IDW Publishing;green;bom;112.25252525252525;1.8672630560928434;32.194753944178736
